company,date,title,link,description
GS건설,2026-04-08,"""GS건설, 인프라·플랜트 매출과 수주 시원찮다…건축주택 홀로 선방할...",https://www.newsquest.co.kr/news/articleView.html?idxno=264449,"중동 재건 관련해서 GS건설은 과거 UAE 루와이스 화재 복구 공사(RRW)를 수행한 이력이 있다. 2017년 2분기에 수주(1조4000억원)하여 2019년 1분기에 완공하는 프로젝트였다. 김승준 하나증권 연구원은 ""GS건설의 향후... "
GS건설,2026-04-08,"GS건설도 '원전 역량' 있다, 미국에 베트남까지 원전 참여 높아지는 기...",https://www.businesspost.co.kr/BP?command=article_view&num=435238,"한국전력공사는 닌투언 원전 수주를 위해 수주 활동을 벌이고 있으며 올해 2~3분기 중에 팀코리아 구성이 진행될 것으로 예상된다. GS건설 관계자는 ""GS건설은 여러 차례 대형원전 건설에 참여해 충분한 경험과 역량을... "
GS건설,2026-04-08,"자본과 건설의 맞손… 하나금융·GS건설, ‘AI 데이터센터’ 영토 넓힌...",https://www.donga.com/news/Economy/article/all/20260408/133701264/1,"서울 종로구 GS건설 본사에서 열린 협약식에는 강성묵 하나금융지주 부회장과 이호성 하나은행장, 허윤홍 GS건설 대표 등 각 사의 주요 경영진이 참석해 협력을 다짐했다. 이번 협력에는 건설 현장의 기술력과 자산 운용... "
GS건설,2026-04-08,"성수1지구 '리베니크 자이' 베일 벗는다…GS건설, 홍보관 개관",https://www.m-i.kr/news/articleView.html?idxno=1362812,"GS건설이 조합에 제출한 입찰제안 내용 등을 조합원들에게 설명, 표심을 얻겠단 구상이다. 8일 정비업계에 따르면 성수1지구 인근에 열릴 '리베니크 자이(GS건설 제안 단지명)' 홍보관에 조합원들의 관심이 쏠리며, 전... "
GS건설,2026-04-08,"아파트만 짓는 게 아니다… GS건설, 수처리·태양광 등 신성장동력 풀가...",https://www.pinpointnews.co.kr/news/articleView.html?idxno=443825,한국거래소에 따르면 해외 모듈러 전문 기업을 인수하며 기술력을 확보한 GS건설은 이날 오후 1시14분 현재 26.74% 상승한 3만 6500원에 거래되고 있다. GS건설이 반세기가 넘는 건설 노하우를 바탕으로 미래형 사업 구조... 
GS건설,2026-04-07,"GS건설, 시멘트사와 초고층 건물 시공 안정성 향상 업무협약",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202604070430&t=NN,"GS건설은 확보한 기술을 기존에 수주한 서울 용산구 한강맨션 재건축, 부산 시민공원촉진1구역 재개발을 시작으로 사업 참여 예정인 성수전략1구역 재개발, 여의도 삼부 재건축 등 주요 랜드마크 사업장에 단계적으로... "
GS건설,2026-04-07,"LH·GS건설 서울 성북1구역 공동사업시행 협약, '자이 비:원' 2027년 사업...",https://www.businesspost.co.kr/BP?command=article_view&num=435140,"당시 GS건설이 단독 입찰했다. GS건설은 단지 이름으로 '자이 비:원'을 제안했다. 입지적 특성을 극대화할 '하나의 명품'이란 뜻을 담았다. GS건설은 당시 ""노후 주거지 문제를 해결하고 지형적 한계를 극복하는... "
DL이앤씨,2026-04-15,"[단독] ""입찰보증금 420억원 돌려달라""⋯DL이앤씨, 부산 우동1구역과 소...",http://www.inews24.com/view/1960174,"DL이앤씨가 부산 우동1구역 재건축정비사업조합을 상대로 420억원 규모의 입찰보증금 반환 소송을 제기했다. 조합이 지난해 11월 DL이앤씨의 시공사 선정을 취소하자, 과거 납부한 보증금을 돌려달라고 나선 것이다.... "
DL이앤씨,2026-04-14,"[건설 먹거리 X파일] DL이앤씨, SMR 웃고 탄소포집 울었다",https://www.bloter.net/news/articleView.html?idxno=659431,DL이앤씨가 추진하는 신사업의 희비가 엇갈렸다. 차세대 원전으로 꼽히는 소형모듈원전(SMR) 투자는 10개월 만에 가치가 두 배 이상 뛰었으나 탄소포집활용저장(CCUS) 사업은 투자금을 전액 손실 처리했다. 주택 경기... 
DL이앤씨,2026-04-14,"상대원2구역, DL이앤씨 시공권 공식 박탈",http://www.ikld.kr/news/articleView.html?idxno=332838,"성남 상대원2구역 재개발조합이 기존 시공사인 DL이앤씨의 공사비 증액 요구와 사업 지연 책임을 물어 시공권을 박탈했다. 14일 조합 공문에 따르면, 상대원2구역 조합은 지난 11일 개최된 정기총회에서 제5호 안건인... "
DL이앤씨,2026-04-14,"노량진뉴타운 재개발…DL이앤씨, ‘아크로 리버스카이’ 5월 분양",https://www.dailian.co.kr/news/view/1633560/?sc=Naver,"DL이앤씨는 5월 중 서울 동작구 대방동 노량진8재정비촉진구역 재개발로 ‘아크로 리버스카이’를 분양한다고 14일 밝혔다. 아크로 리버스카이는 지하 4층~지상 29층, 10개 동, 전용면적 36~140㎡ 총 987가구로... "
DL이앤씨,2026-04-13,대우·DL이앤씨 컨소시엄 등 대형 건설사 신규 분양…서울·수도권·지방...,http://www.fntimes.com/html/view.php?ud=202604131707298817048b718333_18,"대우건설, DL이앤씨·GS건설·SK에코플랜트 컨소시엄, 롯데건설, BS한양 등 주요 건설사들이 분양시장에 신규 단지를 잇달아 선보이고 있다. ◇ 대우건설, 흑석 11구역 재개발 ‘써밋 더힐’ 5월 공급 예정 ‘써밋... "
DL이앤씨,2026-04-12,"""단기 실적보다 미래""… DL이앤씨, 모멘텀 주목을",https://www.pinpointnews.co.kr/news/articleView.html?idxno=444739,DL이앤씨가 1분기 실적에서 기대치를 소폭 밑돌 것으로 예상되면서 단기적인 실적 모멘텀은 제한적일 전망이다. 다만 다양한 사업 기반과 구조적 변화 요인이 중장기 투자 포인트로 부각되고 있다. 미래에셋증권은 최근... 
DL이앤씨,2026-04-11,압구정5구역 수주전 성사…현대건설·DL이앤씨 6년 만에 재격돌,https://www.bizhankook.com/bk/article/32027,서울 강남구 압구정5구역 재건축사업 시공권을 두고 현대건설과 DL이앤씨가 맞붙었다. 양사가 정비사업 수주전에서 경쟁 구도를 만든 것은 2020년 한남3구역 재개발사업 이후 6년 만이다. 같은 날 입찰을 마감한... 
DL이앤씨,2026-04-10,목동재건축 첫주자 6단지 시공사 입찰에 DL이앤씨 단독 응찰,https://www.news1.kr/realestate/general/6132296,사업비 1조 2000억 원에 달하는 서울 양천구 '목동신시가지6단지' 재건축 사업 시공사 선정에 DL이앤씨(375500)가 단독 응찰했다. 10일 정비업계에 따르면 목동6단지 재건축 조합이 이날 시공사 선정 입찰을 진행한... 
DL이앤씨,2026-04-10,[CEO투데이] 위기 속 빛난 박상신 DL이앤씨 부회장의 '내실 경영',http://www.seoulwire.com/news/articleView.html?idxno=715985,그의 경영 철학은 철저한 선별 수주와 원가 관리에서 빛을 발한다. DL이앤씨의 연결기준 영업이익은 2025년 3분기 누적 3239억원을 기록하며 전년 동기 대비 83.2% 대폭 상승했다. 특히 주택 부문 원가율은 2024년 3분기 92.3... 
DL이앤씨,2026-04-10,DL이앤씨 순이익 '착시'…대손상각비와 자본잠식 종속기업으로 세전이익...,https://www.newsquest.co.kr/news/articleView.html?idxno=264559,2026년 4월에는 총공사비 5583억원 규모의 한국토지주택공사 발주 오산·인천검단·인천영종 통합형 민간참여 공공주택건설사업의 우선협상대상자로 선정되며 DL이앤씨 몫으로만 2847억원의 수주고를 확보할... 
DL이앤씨,2026-04-09,"DL이앤씨, 강서구 초등학생 대상 창의·융합 교육 운영",http://www.fnnews.com/news/202604090902119764,"지난 8일 강서구청에서 진행된 업무협약식에는 강서구 진교훈 구청장과 DL이앤씨 박상신 대표이사가 참석했다. DL이앤씨는 기업이 보유한 인적·물적 자원을 활용해 교육 프로그램을 운영하고, 강서구는 행정적 지원을... "
DL이앤씨,2026-04-08,"""DL이앤씨, 무난한 1분기 실적 달성…SMR도 사업 중심축으로 확대""",https://www.newsquest.co.kr/news/articleView.html?idxno=264452,"1분기 수주는 2조2000억원(주택 1조5000억원, 토목 3000억원, DL건설 4000억원)으로 추정했으며, 플랜트 수주는 미미하다. 1분기 착공세대수는 DL이앤씨 1943세대, DL건설 0세대다. 엑스에너지와의 표준화모듈... "
DL이앤씨,2026-04-08,"DL이앤씨, 선호도·청약·품질 '트리플 크라운'으로 하이엔드 평정",http://www.beyondpost.co.kr/view.php?ud=202604081551481029205868f676_30,"DL이앤씨의 하이엔드 주거 브랜드 '아크로(ACRO)'가 브랜드 선호도와 분양 실적, 시공 품질 등 주요 지표에서 고르게 두각을 나타내고 있다. 하이엔드 주거의 기준을 새롭게 정의하며 시장 지배력을 공고히 하는... "
DL이앤씨,2026-04-08,"DL이앤씨, 이제 시작인 SMR 모멘텀 - 키움증권",http://www.biztribune.co.kr/news/articleView.html?idxno=352072,현재 DL이앤씨는 X-Energy와의 협업을 통해 SMR 시장에 진입을 꾀하고 있다. 특히 '25년 10월 Xe-100에 대한 표준화 설계 용역 계약을 체결한 바 있다. 이번 BOP 표준화 설계 용역은 17개월로 2027년 상반기 완료될... 
